chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,global_mean,0.7886984348297119,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,temporal_mean,0.7673017978668213,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,climatology,1.2889645099639893,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,anomaly,2.1479275226593018,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,global_mean,0.7993221282958984,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,temporal_mean,0.6831467151641846,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,climatology,1.024303674697876,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,anomaly,1.8460211753845215,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,global_mean,0.7537307739257812,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,temporal_mean,0.6933908462524414,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,climatology,1.0802276134490967,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,anomaly,1.7209391593933105,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,global_mean,0.7886984348297119,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,temporal_mean,0.7673017978668213,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,climatology,1.2889645099639893,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,anomaly,2.1479275226593018,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,global_mean,0.7993221282958984,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,temporal_mean,0.6831467151641846,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,climatology,1.024303674697876,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,anomaly,1.8460211753845215,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,global_mean,0.7537307739257812,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,temporal_mean,0.6933908462524414,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,climatology,1.0802276134490967,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,anomaly,1.7209391593933105,False,1,1
10,128MB,spatial,5.12 GB,hal24,24,128gb,4,global_mean,1.5906686782836914,False,1,1
