chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,worker_per_node
128MB,spatial,6.14 GB,hal24,24,128gb,4,global_mean,0.2986280918121338,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,temporal_mean,0.362682580947876,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,climatology,0.7868719100952148,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,anomaly,3.0671284198760986,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,global_mean,0.3805546760559082,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,temporal_mean,0.31560587882995605,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,climatology,0.6739404201507568,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,anomaly,1.0066707134246826,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,global_mean,0.4645833969116211,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,temporal_mean,0.2970907688140869,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,climatology,0.8716673851013184,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,anomaly,1.7617762088775635,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,global_mean,0.2986280918121338,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,temporal_mean,0.362682580947876,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,climatology,0.7868719100952148,False,12
128MB,spatial,6.14 GB,hal24,24,128gb,4,anomaly,3.0671284198760986,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,global_mean,0.3805546760559082,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,temporal_mean,0.31560587882995605,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,climatology,0.6739404201507568,False,12
128MB,temporal,6.14 GB,hal24,24,128gb,4,anomaly,1.0066707134246826,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,global_mean,0.4645833969116211,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,temporal_mean,0.2970907688140869,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,climatology,0.8716673851013184,False,12
128MB,auto,6.14 GB,hal24,24,128gb,4,anomaly,1.7617762088775635,False,12
256MB,spatial,12.29 GB,hal24,24,128gb,4,global_mean,0.5425939559936523,False,12
256MB,spatial,12.29 GB,hal24,24,128gb,4,temporal_mean,0.5320866107940674,False,12
256MB,spatial,12.29 GB,hal24,24,128gb,4,climatology,0.9628820419311523,False,12
256MB,spatial,12.29 GB,hal24,24,128gb,4,anomaly,5.619876861572266,False,12
256MB,temporal,12.29 GB,hal24,24,128gb,4,global_mean,0.6677076816558838,False,12
256MB,temporal,12.29 GB,hal24,24,128gb,4,temporal_mean,0.5191910266876221,False,12
256MB,temporal,12.29 GB,hal24,24,128gb,4,climatology,0.8751058578491211,False,12
256MB,temporal,12.29 GB,hal24,24,128gb,4,anomaly,1.8901355266571045,False,12
256MB,auto,12.29 GB,hal24,24,128gb,4,global_mean,0.5073437690734863,False,12
256MB,auto,12.29 GB,hal24,24,128gb,4,temporal_mean,0.4423046112060547,False,12
256MB,auto,12.29 GB,hal24,24,128gb,4,climatology,1.6937623023986816,False,12
256MB,auto,12.29 GB,hal24,24,128gb,4,anomaly,2.931975841522217,False,12
