chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,16.72 MB,cheyenne,1,global_mean,0.02739715576171875,2
8MB,spatial,16.72 MB,cheyenne,1,temporal_mean,0.03173637390136719,2
8MB,spatial,16.72 MB,cheyenne,1,climatology,0.043656110763549805,2
8MB,spatial,16.72 MB,cheyenne,1,anomaly,0.05155134201049805,2
8MB,temporal,16.72 MB,cheyenne,1,global_mean,0.033226728439331055,2
8MB,temporal,16.72 MB,cheyenne,1,temporal_mean,0.0260317325592041,2
8MB,temporal,16.72 MB,cheyenne,1,climatology,0.04874014854431152,2
8MB,temporal,16.72 MB,cheyenne,1,anomaly,0.06515145301818848,2
8MB,auto,16.72 MB,cheyenne,1,global_mean,0.022768497467041016,2
8MB,auto,16.72 MB,cheyenne,1,temporal_mean,0.023076295852661133,2
8MB,auto,16.72 MB,cheyenne,1,climatology,0.036756038665771484,2
8MB,auto,16.72 MB,cheyenne,1,anomaly,0.04881691932678223,2
8MB,spatial,16.72 MB,cheyenne,1,global_mean,0.02739715576171875,2
8MB,spatial,16.72 MB,cheyenne,1,temporal_mean,0.03173637390136719,2
8MB,spatial,16.72 MB,cheyenne,1,climatology,0.043656110763549805,2
8MB,spatial,16.72 MB,cheyenne,1,anomaly,0.05155134201049805,2
8MB,temporal,16.72 MB,cheyenne,1,global_mean,0.033226728439331055,2
8MB,temporal,16.72 MB,cheyenne,1,temporal_mean,0.0260317325592041,2
8MB,temporal,16.72 MB,cheyenne,1,climatology,0.04874014854431152,2
8MB,temporal,16.72 MB,cheyenne,1,anomaly,0.06515145301818848,2
8MB,auto,16.72 MB,cheyenne,1,global_mean,0.022768497467041016,2
8MB,auto,16.72 MB,cheyenne,1,temporal_mean,0.023076295852661133,2
8MB,auto,16.72 MB,cheyenne,1,climatology,0.036756038665771484,2
8MB,auto,16.72 MB,cheyenne,1,anomaly,0.04881691932678223,2
16MB,spatial,32.45 MB,cheyenne,1,global_mean,0.03536391258239746,2
16MB,spatial,32.45 MB,cheyenne,1,temporal_mean,0.035920143127441406,2
16MB,spatial,32.45 MB,cheyenne,1,climatology,0.04614567756652832,2
16MB,spatial,32.45 MB,cheyenne,1,anomaly,0.060236454010009766,2
16MB,temporal,32.45 MB,cheyenne,1,global_mean,0.03861498832702637,2
16MB,temporal,32.45 MB,cheyenne,1,temporal_mean,0.03240180015563965,2
16MB,temporal,32.45 MB,cheyenne,1,climatology,0.05616164207458496,2
16MB,temporal,32.45 MB,cheyenne,1,anomaly,0.08234596252441406,2
16MB,auto,32.45 MB,cheyenne,1,global_mean,0.027245283126831055,2
16MB,auto,32.45 MB,cheyenne,1,temporal_mean,0.03298377990722656,2
