operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
spatial_mean,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,1.746790885925293
temporal_mean,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,0.6503968238830566
climatology,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,3.3773393630981445
anomaly,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,5.101489305496216
spatial_mean,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,0.8788125514984131
temporal_mean,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,0.46561312675476074
climatology,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,0.867542028427124
anomaly,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,1.6118128299713135
spatial_mean,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,0.9941129684448242
temporal_mean,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,0.8412952423095703
climatology,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,1.3666455745697021
anomaly,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,2.9773316383361816
spatial_mean,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,1.746790885925293
temporal_mean,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,0.6503968238830566
climatology,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,3.3773393630981445
anomaly,32MB,10,10.24 GB,1,1,32,spatial,cheyenne,109gb,36,False,5.101489305496216
spatial_mean,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,0.8788125514984131
temporal_mean,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,0.46561312675476074
climatology,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,0.867542028427124
anomaly,32MB,10,10.24 GB,1,1,32,temporal,cheyenne,109gb,36,False,1.6118128299713135
spatial_mean,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,0.9941129684448242
temporal_mean,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,0.8412952423095703
climatology,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,1.3666455745697021
anomaly,32MB,10,10.24 GB,1,1,32,auto,cheyenne,109gb,36,False,2.9773316383361816
spatial_mean,512MB,10,163.84 GB,1,1,32,spatial,cheyenne,109gb,36,False,11.973571062088013
temporal_mean,512MB,10,163.84 GB,1,1,32,spatial,cheyenne,109gb,36,False,6.670772075653076
climatology,512MB,10,163.84 GB,1,1,32,spatial,cheyenne,109gb,36,False,14.450536966323853
anomaly,512MB,10,163.84 GB,1,1,32,spatial,cheyenne,109gb,36,False,35.31130838394165
spatial_mean,512MB,10,163.84 GB,1,1,32,temporal,cheyenne,109gb,36,False,8.516058444976807
temporal_mean,512MB,10,163.84 GB,1,1,32,temporal,cheyenne,109gb,36,False,6.125613689422607
climatology,512MB,10,163.84 GB,1,1,32,temporal,cheyenne,109gb,36,False,9.37636423110962
anomaly,512MB,10,163.84 GB,1,1,32,temporal,cheyenne,109gb,36,False,21.261857271194458
spatial_mean,512MB,10,163.84 GB,1,1,32,auto,cheyenne,109gb,36,False,8.748972177505493
temporal_mean,512MB,10,163.84 GB,1,1,32,auto,cheyenne,109gb,36,False,6.261111497879028
climatology,512MB,10,163.84 GB,1,1,32,auto,cheyenne,109gb,36,False,11.645360946655273
anomaly,512MB,10,163.84 GB,1,1,32,auto,cheyenne,109gb,36,False,24.287525415420532
