chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
8MB,64.89 MB,1,global_mean,0.1232907772064209,8
8MB,64.89 MB,1,temporal_mean,0.0510861873626709,8
8MB,64.89 MB,1,climatology,0.1029808521270752,8
8MB,64.89 MB,1,anomaly,0.3889951705932617,8
16MB,128.78 MB,1,global_mean,0.0695033073425293,8
16MB,128.78 MB,1,temporal_mean,0.04976534843444824,8
16MB,128.78 MB,1,climatology,0.09443545341491699,8
16MB,128.78 MB,1,anomaly,0.4282095432281494,8
32MB,256.58 MB,1,global_mean,0.08914041519165039,8
32MB,256.58 MB,1,temporal_mean,0.06400561332702637,8
32MB,256.58 MB,1,climatology,0.11606669425964355,8
32MB,256.58 MB,1,anomaly,0.7053408622741699,8
64MB,512.17 MB,1,global_mean,0.12415313720703125,8
64MB,512.17 MB,1,temporal_mean,0.1050412654876709,8
64MB,512.17 MB,1,climatology,0.18311309814453125,8
64MB,512.17 MB,1,anomaly,1.3846688270568848,8
128MB,1.02 GB,1,global_mean,0.20102167129516602,8
128MB,1.02 GB,1,temporal_mean,0.1799015998840332,8
128MB,1.02 GB,1,climatology,0.2998847961425781,8
128MB,1.02 GB,1,anomaly,3.4592576026916504,8
256MB,2.05 GB,1,global_mean,0.35529541969299316,8
256MB,2.05 GB,1,temporal_mean,0.32320380210876465,8
256MB,2.05 GB,1,climatology,0.5348391532897949,8
256MB,2.05 GB,1,anomaly,7.574382066726685,8
8MB,128.78 MB,2,global_mean,0.0918576717376709,8
8MB,128.78 MB,2,temporal_mean,0.06822443008422852,8
8MB,128.78 MB,2,climatology,0.11295914649963379,8
8MB,128.78 MB,2,anomaly,0.5870800018310547,8
16MB,256.58 MB,2,global_mean,0.09357309341430664,8
16MB,256.58 MB,2,temporal_mean,0.06432271003723145,8
16MB,256.58 MB,2,climatology,0.1338047981262207,8
16MB,256.58 MB,2,anomaly,0.7740790843963623,8
32MB,512.17 MB,2,global_mean,0.10500741004943848,8
32MB,512.17 MB,2,temporal_mean,0.07711672782897949,8
32MB,512.17 MB,2,climatology,0.15082001686096191,8
32MB,512.17 MB,2,anomaly,1.412627935409546,8
64MB,1.02 GB,2,global_mean,0.13736248016357422,8
64MB,1.02 GB,2,temporal_mean,0.11654877662658691,8
64MB,1.02 GB,2,climatology,0.20992231369018555,8
64MB,1.02 GB,2,anomaly,2.4458858966827393,8
128MB,2.05 GB,2,global_mean,0.21697068214416504,8
128MB,2.05 GB,2,temporal_mean,0.19562220573425293,8
128MB,2.05 GB,2,climatology,0.3228740692138672,8
128MB,2.05 GB,2,anomaly,6.800537347793579,8
256MB,4.10 GB,2,global_mean,0.3756399154663086,8
256MB,4.10 GB,2,temporal_mean,0.3502922058105469,8
256MB,4.10 GB,2,climatology,0.5778613090515137,8
256MB,4.10 GB,2,anomaly,14.49151873588562,8
8MB,256.58 MB,4,global_mean,0.12094879150390625,8
8MB,256.58 MB,4,temporal_mean,0.10761022567749023,8
8MB,256.58 MB,4,climatology,0.21607422828674316,8
8MB,256.58 MB,4,anomaly,0.850592851638794,8
16MB,512.17 MB,4,global_mean,0.12764978408813477,8
16MB,512.17 MB,4,temporal_mean,0.11205339431762695,8
16MB,512.17 MB,4,climatology,0.1732492446899414,8
16MB,512.17 MB,4,anomaly,1.2632091045379639,8
32MB,1.02 GB,4,global_mean,0.13733601570129395,8
32MB,1.02 GB,4,temporal_mean,0.16581964492797852,8
32MB,1.02 GB,4,climatology,0.19472932815551758,8
32MB,1.02 GB,4,anomaly,2.3078465461730957,8
64MB,2.05 GB,4,global_mean,0.178358793258667,8
64MB,2.05 GB,4,temporal_mean,0.14603018760681152,8
64MB,2.05 GB,4,climatology,0.251619815826416,8
64MB,2.05 GB,4,anomaly,5.207467317581177,8
128MB,4.10 GB,4,global_mean,0.2516953945159912,8
128MB,4.10 GB,4,temporal_mean,0.23833084106445312,8
128MB,4.10 GB,4,climatology,0.3818659782409668,8
128MB,4.10 GB,4,anomaly,12.837290287017822,8
256MB,8.19 GB,4,global_mean,0.3987915515899658,8
256MB,8.19 GB,4,temporal_mean,0.37694668769836426,8
256MB,8.19 GB,4,climatology,0.6157102584838867,8
256MB,8.19 GB,4,anomaly,28.58264470100403,8
8MB,512.17 MB,8,global_mean,0.19420480728149414,8
8MB,512.17 MB,8,temporal_mean,0.2925851345062256,8
8MB,512.17 MB,8,climatology,0.24360322952270508,8
8MB,512.17 MB,8,anomaly,1.5797879695892334,8
16MB,1.02 GB,8,global_mean,0.17979884147644043,8
16MB,1.02 GB,8,temporal_mean,0.180314302444458,8
16MB,1.02 GB,8,climatology,0.27243781089782715,8
16MB,1.02 GB,8,anomaly,2.5957109928131104,8
32MB,2.05 GB,8,global_mean,0.19666194915771484,8
32MB,2.05 GB,8,temporal_mean,0.18738913536071777,8
32MB,2.05 GB,8,climatology,0.39124536514282227,8
32MB,2.05 GB,8,anomaly,4.495339632034302,8
64MB,4.10 GB,8,global_mean,0.24042749404907227,8
64MB,4.10 GB,8,temporal_mean,0.21758270263671875,8
64MB,4.10 GB,8,climatology,0.3707602024078369,8
64MB,4.10 GB,8,anomaly,10.077707052230835,8
128MB,8.19 GB,8,global_mean,0.3162956237792969,8
128MB,8.19 GB,8,temporal_mean,0.4097588062286377,8
128MB,8.19 GB,8,climatology,0.4907495975494385,8
128MB,8.19 GB,8,anomaly,25.641342639923096,8
256MB,16.38 GB,8,global_mean,0.44045138359069824,8
256MB,16.38 GB,8,temporal_mean,0.544701337814331,8
256MB,16.38 GB,8,climatology,0.7654452323913574,8
256MB,16.38 GB,8,anomaly,58.26124954223633,8
