chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
128MB,auto,4.10 GB,cheyenne,8,anomaly,0.8495280742645264,4
128MB,auto,4.10 GB,cheyenne,8,climatology,0.6322245597839355,4
128MB,auto,4.10 GB,cheyenne,8,spatial_mean,0.22143149375915527,4
128MB,auto,4.10 GB,cheyenne,8,temporal_mean,0.24554443359375,4
128MB,spatial,4.10 GB,cheyenne,8,anomaly,1.7930941581726074,4
128MB,spatial,4.10 GB,cheyenne,8,climatology,0.4293489456176758,4
128MB,spatial,4.10 GB,cheyenne,8,spatial_mean,0.25770020484924316,4
128MB,spatial,4.10 GB,cheyenne,8,temporal_mean,0.25140953063964844,4
128MB,temporal,4.10 GB,cheyenne,8,anomaly,0.6634700298309326,4
128MB,temporal,4.10 GB,cheyenne,8,climatology,0.3851511478424072,4
128MB,temporal,4.10 GB,cheyenne,8,spatial_mean,0.21936249732971191,4
128MB,temporal,4.10 GB,cheyenne,8,temporal_mean,0.26688337326049805,4
16MB,auto,512.17 MB,cheyenne,8,anomaly,0.589444637298584,4
16MB,auto,512.17 MB,cheyenne,8,climatology,0.37961435317993164,4
16MB,auto,512.17 MB,cheyenne,8,spatial_mean,0.13769841194152832,4
16MB,auto,512.17 MB,cheyenne,8,temporal_mean,0.13585376739501953,4
16MB,spatial,512.17 MB,cheyenne,8,anomaly,0.7009906768798828,4
16MB,spatial,512.17 MB,cheyenne,8,climatology,0.3638463020324707,4
16MB,spatial,512.17 MB,cheyenne,8,spatial_mean,0.1136777400970459,4
16MB,spatial,512.17 MB,cheyenne,8,temporal_mean,0.13677310943603516,4
16MB,temporal,512.17 MB,cheyenne,8,anomaly,0.2818570137023926,4
16MB,temporal,512.17 MB,cheyenne,8,climatology,0.18864059448242188,4
16MB,temporal,512.17 MB,cheyenne,8,spatial_mean,0.11552119255065918,4
16MB,temporal,512.17 MB,cheyenne,8,temporal_mean,0.10897707939147949,4
256MB,auto,8.19 GB,cheyenne,8,anomaly,1.9036312103271484,4
256MB,auto,8.19 GB,cheyenne,8,climatology,0.7427318096160889,4
