operation,chunk_size,chunk_per_worker,dataset_size,worker_per_node,threads_per_worker,num_nodes,chunking_scheme,machine,maxmemory_per_node,maxcore_per_node,spil,runtime
anomaly,1024MB,10,40.96 GB,1,1,4,auto,cheyenne,109gb,36,False,36.1946074962616
anomaly,1024MB,10,40.96 GB,1,1,4,spatial,cheyenne,109gb,36,False,31.960467100143433
anomaly,1024MB,10,40.96 GB,1,1,4,temporal,cheyenne,109gb,36,False,37.85430955886841
anomaly,128MB,10,5.12 GB,1,1,4,auto,cheyenne,109gb,36,False,3.9422569274902344
anomaly,128MB,10,5.12 GB,1,1,4,spatial,cheyenne,109gb,36,False,3.597348213195801
anomaly,128MB,10,5.12 GB,1,1,4,temporal,cheyenne,109gb,36,False,3.8442952632904053
anomaly,2048MB,10,81.92 GB,1,1,4,auto,cheyenne,109gb,36,False,71.47289609909058
anomaly,2048MB,10,81.92 GB,1,1,4,spatial,cheyenne,109gb,36,False,86.65771007537842
anomaly,2048MB,10,81.92 GB,1,1,4,temporal,cheyenne,109gb,36,False,67.88594174385071
anomaly,256MB,10,10.24 GB,1,1,4,auto,cheyenne,109gb,36,False,7.952419281005859
anomaly,256MB,10,10.24 GB,1,1,4,spatial,cheyenne,109gb,36,False,7.599261522293091
anomaly,256MB,10,10.24 GB,1,1,4,temporal,cheyenne,109gb,36,False,9.163697481155396
anomaly,512MB,10,20.48 GB,1,1,4,auto,cheyenne,109gb,36,False,17.96336603164673
anomaly,512MB,10,20.48 GB,1,1,4,spatial,cheyenne,109gb,36,False,14.665584564208984
anomaly,512MB,10,20.48 GB,1,1,4,temporal,cheyenne,109gb,36,False,20.734458208084106
anomaly,64MB,10,2.56 GB,1,1,4,auto,cheyenne,109gb,36,False,1.9927334785461426
anomaly,64MB,10,2.56 GB,1,1,4,spatial,cheyenne,109gb,36,False,1.6225306987762451
anomaly,64MB,10,2.56 GB,1,1,4,temporal,cheyenne,109gb,36,False,1.9803271293640137
climatology,1024MB,10,40.96 GB,1,1,4,auto,cheyenne,109gb,36,False,20.828577041625977
climatology,1024MB,10,40.96 GB,1,1,4,spatial,cheyenne,109gb,36,False,17.719162225723267
