chunk_size,num_nodes,operation,runtime,worker_per_node
64MB,4,global_mean,0.14125323295593262,1
64MB,4,temporal_mean,0.11027956008911133,1
64MB,4,climatology,0.19838619232177734,1
64MB,4,anomaly,0.9827027320861816,1
128MB,4,global_mean,0.1953449249267578,1
128MB,4,temporal_mean,0.17121005058288574,1
128MB,4,climatology,0.2438666820526123,1
128MB,4,anomaly,2.305565595626831,1
256MB,4,global_mean,0.34659910202026367,1
256MB,4,temporal_mean,0.3208160400390625,1
256MB,4,climatology,0.2834799289703369,1
256MB,4,anomaly,4.406035900115967,1
512MB,4,global_mean,0.6830224990844727,1
512MB,4,temporal_mean,0.6034128665924072,1
512MB,4,climatology,0.4523928165435791,1
512MB,4,anomaly,8.384034633636475,1
1024MB,4,global_mean,1.2224349975585938,1
1024MB,4,temporal_mean,1.1400465965270996,1
1024MB,4,climatology,0.6913948059082031,1
1024MB,4,anomaly,16.802714586257935,1
