chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
8MB,16.72 MB,1,global_mean,0.04245471954345703,2
8MB,16.72 MB,1,temporal_mean,0.03396725654602051,2
8MB,16.72 MB,1,climatology,0.1217200756072998,2
8MB,16.72 MB,1,anomaly,0.113037109375,2
16MB,32.45 MB,1,global_mean,0.04577994346618652,2
16MB,32.45 MB,1,temporal_mean,0.0367732048034668,2
16MB,32.45 MB,1,climatology,0.06255793571472168,2
16MB,32.45 MB,1,anomaly,0.17318487167358398,2
32MB,64.89 MB,1,global_mean,0.061063528060913086,2
32MB,64.89 MB,1,temporal_mean,0.04251456260681152,2
32MB,64.89 MB,1,climatology,0.09676790237426758,2
32MB,64.89 MB,1,anomaly,0.25628042221069336,2
64MB,128.78 MB,1,global_mean,0.10110902786254883,2
64MB,128.78 MB,1,temporal_mean,0.09274744987487793,2
64MB,128.78 MB,1,climatology,0.13615036010742188,2
64MB,128.78 MB,1,anomaly,0.5360829830169678,2
128MB,256.58 MB,1,global_mean,0.17249226570129395,2
128MB,256.58 MB,1,temporal_mean,0.15841245651245117,2
128MB,256.58 MB,1,climatology,0.2653524875640869,2
128MB,256.58 MB,1,anomaly,1.278005838394165,2
256MB,512.17 MB,1,global_mean,0.3137845993041992,2
256MB,512.17 MB,1,temporal_mean,0.2946300506591797,2
256MB,512.17 MB,1,climatology,0.48749566078186035,2
256MB,512.17 MB,1,anomaly,2.699141502380371,2
512MB,1.02 GB,1,global_mean,0.6418778896331787,2
512MB,1.02 GB,1,temporal_mean,0.6046798229217529,2
512MB,1.02 GB,1,climatology,0.917724609375,2
512MB,1.02 GB,1,anomaly,5.203948020935059,2
8MB,32.45 MB,2,global_mean,0.05421876907348633,2
8MB,32.45 MB,2,temporal_mean,0.041561126708984375,2
8MB,32.45 MB,2,climatology,0.05820798873901367,2
8MB,32.45 MB,2,anomaly,0.1753978729248047,2
16MB,64.89 MB,2,global_mean,0.050498247146606445,2
16MB,64.89 MB,2,temporal_mean,0.04037165641784668,2
16MB,64.89 MB,2,climatology,0.0765390396118164,2
16MB,64.89 MB,2,anomaly,0.25768399238586426,2
32MB,128.78 MB,2,global_mean,0.07192659378051758,2
32MB,128.78 MB,2,temporal_mean,0.04748177528381348,2
32MB,128.78 MB,2,climatology,0.08924746513366699,2
32MB,128.78 MB,2,anomaly,0.3967456817626953,2
