chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,temporal,8.85 MB,cheyenne,1,global_mean,0.06989598274230957,1
8MB,temporal,8.85 MB,cheyenne,1,temporal_mean,0.033519744873046875,1
8MB,temporal,8.85 MB,cheyenne,1,climatology,0.1672968864440918,1
8MB,temporal,8.85 MB,cheyenne,1,anomaly,0.14494752883911133,1
16MB,temporal,16.72 MB,cheyenne,1,global_mean,0.04291868209838867,1
16MB,temporal,16.72 MB,cheyenne,1,temporal_mean,0.045644521713256836,1
16MB,temporal,16.72 MB,cheyenne,1,climatology,0.05952000617980958,1
16MB,temporal,16.72 MB,cheyenne,1,anomaly,0.15967297554016113,1
32MB,temporal,32.45 MB,cheyenne,1,global_mean,0.06173849105834961,1
32MB,temporal,32.45 MB,cheyenne,1,temporal_mean,0.04892635345458984,1
32MB,temporal,32.45 MB,cheyenne,1,climatology,0.0827023983001709,1
32MB,temporal,32.45 MB,cheyenne,1,anomaly,0.1963803768157959,1
64MB,temporal,64.89 MB,cheyenne,1,global_mean,0.10056447982788086,1
64MB,temporal,64.89 MB,cheyenne,1,temporal_mean,0.05704426765441895,1
64MB,temporal,64.89 MB,cheyenne,1,climatology,0.13592147827148438,1
64MB,temporal,64.89 MB,cheyenne,1,anomaly,0.4524021148681641,1
128MB,temporal,128.78 MB,cheyenne,1,global_mean,0.17202138900756836,1
128MB,temporal,128.78 MB,cheyenne,1,temporal_mean,0.1579902172088623,1
128MB,temporal,128.78 MB,cheyenne,1,climatology,0.27115750312805176,1
128MB,temporal,128.78 MB,cheyenne,1,anomaly,0.9088077545166016,1
256MB,temporal,256.58 MB,cheyenne,1,global_mean,0.30873632431030273,1
256MB,temporal,256.58 MB,cheyenne,1,temporal_mean,0.28049635887146,1
256MB,temporal,256.58 MB,cheyenne,1,climatology,0.4561755657196045,1
256MB,temporal,256.58 MB,cheyenne,1,anomaly,1.836023569107056,1
512MB,temporal,512.17 MB,cheyenne,1,global_mean,0.6092028617858887,1
512MB,temporal,512.17 MB,cheyenne,1,temporal_mean,0.5733253955841064,1
512MB,temporal,512.17 MB,cheyenne,1,climatology,0.8808021545410156,1
512MB,temporal,512.17 MB,cheyenne,1,anomaly,3.4456324577331543,1
8MB,temporal,16.72 MB,cheyenne,2,global_mean,0.049535274505615234,1
8MB,temporal,16.72 MB,cheyenne,2,temporal_mean,0.032978057861328125,1
8MB,temporal,16.72 MB,cheyenne,2,climatology,0.103348970413208,1
8MB,temporal,16.72 MB,cheyenne,2,anomaly,0.15555787086486814,1
16MB,temporal,32.45 MB,cheyenne,2,global_mean,0.049456119537353516,1
16MB,temporal,32.45 MB,cheyenne,2,temporal_mean,0.03838348388671875,1
16MB,temporal,32.45 MB,cheyenne,2,climatology,0.07772397994995117,1
16MB,temporal,32.45 MB,cheyenne,2,anomaly,0.19627785682678225,1
32MB,temporal,64.89 MB,cheyenne,2,global_mean,0.07370686531066895,1
32MB,temporal,64.89 MB,cheyenne,2,temporal_mean,0.05440998077392578,1
32MB,temporal,64.89 MB,cheyenne,2,climatology,0.1102275848388672,1
32MB,temporal,64.89 MB,cheyenne,2,anomaly,0.3558328151702881,1
64MB,temporal,128.78 MB,cheyenne,2,global_mean,0.10944271087646484,1
64MB,temporal,128.78 MB,cheyenne,2,temporal_mean,0.09080934524536133,1
64MB,temporal,128.78 MB,cheyenne,2,climatology,0.15105986595153809,1
64MB,temporal,128.78 MB,cheyenne,2,anomaly,0.5871195793151855,1
128MB,temporal,256.58 MB,cheyenne,2,global_mean,0.17536449432373047,1
128MB,temporal,256.58 MB,cheyenne,2,temporal_mean,0.1588578224182129,1
128MB,temporal,256.58 MB,cheyenne,2,climatology,0.2692708969116211,1
128MB,temporal,256.58 MB,cheyenne,2,anomaly,1.5304501056671145,1
256MB,temporal,512.17 MB,cheyenne,2,global_mean,0.3080251216888428,1
256MB,temporal,512.17 MB,cheyenne,2,temporal_mean,0.2856788635253906,1
256MB,temporal,512.17 MB,cheyenne,2,climatology,0.4898808002471924,1
256MB,temporal,512.17 MB,cheyenne,2,anomaly,3.1525146961212163,1
512MB,temporal,1.02 GB,cheyenne,2,global_mean,0.6265387535095215,1
512MB,temporal,1.02 GB,cheyenne,2,temporal_mean,0.5733323097229004,1
512MB,temporal,1.02 GB,cheyenne,2,climatology,0.8859744071960449,1
512MB,temporal,1.02 GB,cheyenne,2,anomaly,5.972827911376952,1
8MB,temporal,32.45 MB,cheyenne,4,global_mean,0.10195422172546388,1
8MB,temporal,32.45 MB,cheyenne,4,temporal_mean,0.05923819541931152,1
8MB,temporal,32.45 MB,cheyenne,4,climatology,0.08637356758117676,1
8MB,temporal,32.45 MB,cheyenne,4,anomaly,0.2493572235107422,1
16MB,temporal,64.89 MB,cheyenne,4,global_mean,0.07946658134460449,1
16MB,temporal,64.89 MB,cheyenne,4,temporal_mean,0.04422140121459961,1
16MB,temporal,64.89 MB,cheyenne,4,climatology,0.1025536060333252,1
16MB,temporal,64.89 MB,cheyenne,4,anomaly,0.3456215858459473,1
32MB,temporal,128.78 MB,cheyenne,4,global_mean,0.08005023002624513,1
32MB,temporal,128.78 MB,cheyenne,4,temporal_mean,0.05859518051147461,1
32MB,temporal,128.78 MB,cheyenne,4,climatology,0.11113834381103516,1
32MB,temporal,128.78 MB,cheyenne,4,anomaly,0.5261309146881104,1
64MB,temporal,256.58 MB,cheyenne,4,global_mean,0.1200413703918457,1
64MB,temporal,256.58 MB,cheyenne,4,temporal_mean,0.11922264099121095,1
64MB,temporal,256.58 MB,cheyenne,4,climatology,0.19903302192687988,1
64MB,temporal,256.58 MB,cheyenne,4,anomaly,1.151249885559082,1
128MB,temporal,512.17 MB,cheyenne,4,global_mean,0.19055628776550293,1
128MB,temporal,512.17 MB,cheyenne,4,temporal_mean,0.1838321685791016,1
128MB,temporal,512.17 MB,cheyenne,4,climatology,0.4042520523071289,1
128MB,temporal,512.17 MB,cheyenne,4,anomaly,2.618843078613281,1
256MB,temporal,1.02 GB,cheyenne,4,global_mean,0.3587672710418701,1
256MB,temporal,1.02 GB,cheyenne,4,temporal_mean,0.30092501640319824,1
256MB,temporal,1.02 GB,cheyenne,4,climatology,0.5263314247131348,1
256MB,temporal,1.02 GB,cheyenne,4,anomaly,5.259820222854613,1
512MB,temporal,2.05 GB,cheyenne,4,global_mean,0.6572411060333252,1
512MB,temporal,2.05 GB,cheyenne,4,temporal_mean,0.6067378520965576,1
512MB,temporal,2.05 GB,cheyenne,4,climatology,0.9383263587951659,1
512MB,temporal,2.05 GB,cheyenne,4,anomaly,9.914340019226074,1
8MB,temporal,64.89 MB,cheyenne,8,global_mean,0.1343252658843994,1
8MB,temporal,64.89 MB,cheyenne,8,temporal_mean,0.05927348136901856,1
8MB,temporal,64.89 MB,cheyenne,8,climatology,0.10878324508666992,1
8MB,temporal,64.89 MB,cheyenne,8,anomaly,0.34478235244750977,1
16MB,temporal,128.78 MB,cheyenne,8,global_mean,0.09337449073791504,1
16MB,temporal,128.78 MB,cheyenne,8,temporal_mean,0.05317091941833496,1
16MB,temporal,128.78 MB,cheyenne,8,climatology,0.10782766342163086,1
16MB,temporal,128.78 MB,cheyenne,8,anomaly,0.5337772369384766,1
32MB,temporal,256.58 MB,cheyenne,8,global_mean,0.10529804229736328,1
32MB,temporal,256.58 MB,cheyenne,8,temporal_mean,0.07480788230895996,1
32MB,temporal,256.58 MB,cheyenne,8,climatology,0.16576528549194336,1
32MB,temporal,256.58 MB,cheyenne,8,anomaly,0.9897081851959229,1
64MB,temporal,512.17 MB,cheyenne,8,global_mean,0.1488351821899414,1
64MB,temporal,512.17 MB,cheyenne,8,temporal_mean,0.13130712509155273,1
64MB,temporal,512.17 MB,cheyenne,8,climatology,0.2317957878112793,1
64MB,temporal,512.17 MB,cheyenne,8,anomaly,1.8220889568328855,1
128MB,temporal,1.02 GB,cheyenne,8,global_mean,0.20296001434326166,1
128MB,temporal,1.02 GB,cheyenne,8,temporal_mean,0.19354653358459475,1
128MB,temporal,1.02 GB,cheyenne,8,climatology,0.32778215408325195,1
128MB,temporal,1.02 GB,cheyenne,8,anomaly,4.098059177398682,1
256MB,temporal,2.05 GB,cheyenne,8,global_mean,0.3512072563171387,1
256MB,temporal,2.05 GB,cheyenne,8,temporal_mean,0.31595587730407715,1
256MB,temporal,2.05 GB,cheyenne,8,climatology,0.5772531032562256,1
256MB,temporal,2.05 GB,cheyenne,8,anomaly,9.412144899368288,1
512MB,temporal,4.10 GB,cheyenne,8,global_mean,0.6602883338928223,1
512MB,temporal,4.10 GB,cheyenne,8,temporal_mean,0.5987081527709961,1
512MB,temporal,4.10 GB,cheyenne,8,climatology,0.9528284072875975,1
512MB,temporal,4.10 GB,cheyenne,8,anomaly,18.04265594482422,1
8MB,temporal,128.78 MB,cheyenne,16,global_mean,0.1394479274749756,1
8MB,temporal,128.78 MB,cheyenne,16,temporal_mean,0.14432263374328613,1
8MB,temporal,128.78 MB,cheyenne,16,climatology,0.19084930419921875,1
8MB,temporal,128.78 MB,cheyenne,16,anomaly,0.6779086589813232,1
16MB,temporal,256.58 MB,cheyenne,16,global_mean,0.10755515098571776,1
16MB,temporal,256.58 MB,cheyenne,16,temporal_mean,0.08707022666931152,1
16MB,temporal,256.58 MB,cheyenne,16,climatology,0.206270694732666,1
16MB,temporal,256.58 MB,cheyenne,16,anomaly,1.0808417797088623,1
32MB,temporal,512.17 MB,cheyenne,16,global_mean,0.12849855422973633,1
32MB,temporal,512.17 MB,cheyenne,16,temporal_mean,0.12334656715393065,1
32MB,temporal,512.17 MB,cheyenne,16,climatology,0.25671911239624023,1
32MB,temporal,512.17 MB,cheyenne,16,anomaly,2.018743991851806,1
64MB,temporal,1.02 GB,cheyenne,16,global_mean,0.19922518730163571,1
64MB,temporal,1.02 GB,cheyenne,16,temporal_mean,0.1499640941619873,1
64MB,temporal,1.02 GB,cheyenne,16,climatology,0.32556581497192383,1
64MB,temporal,1.02 GB,cheyenne,16,anomaly,3.252061605453491,1
128MB,temporal,2.05 GB,cheyenne,16,global_mean,0.2355210781097412,1
128MB,temporal,2.05 GB,cheyenne,16,temporal_mean,0.22817707061767575,1
128MB,temporal,2.05 GB,cheyenne,16,climatology,0.3770062923431397,1
128MB,temporal,2.05 GB,cheyenne,16,anomaly,7.37173581123352,1
256MB,temporal,4.10 GB,cheyenne,16,global_mean,0.38400840759277344,1
256MB,temporal,4.10 GB,cheyenne,16,temporal_mean,0.35933852195739746,1
256MB,temporal,4.10 GB,cheyenne,16,climatology,0.6056976318359375,1
256MB,temporal,4.10 GB,cheyenne,16,anomaly,16.75940775871277,1
512MB,temporal,8.19 GB,cheyenne,16,global_mean,0.6766045093536377,1
