chunk_size,chunking_scheme,dataset_size,machine,num_nodes,operation,runtime,worker_per_node
8MB,spatial,64.89 MB,cheyenne,8,global_mean,0.03472781181335449,1
8MB,spatial,64.89 MB,cheyenne,8,temporal_mean,0.044220924377441406,1
8MB,spatial,64.89 MB,cheyenne,8,climatology,0.10581445693969727,1
8MB,spatial,64.89 MB,cheyenne,8,anomaly,0.08910036087036133,1
8MB,temporal,64.89 MB,cheyenne,8,global_mean,0.0616765022277832,1
8MB,temporal,64.89 MB,cheyenne,8,temporal_mean,0.03366541862487793,1
8MB,temporal,64.89 MB,cheyenne,8,climatology,0.08035445213317871,1
8MB,temporal,64.89 MB,cheyenne,8,anomaly,0.11540865898132324,1
8MB,auto,64.89 MB,cheyenne,8,global_mean,0.037424325942993164,1
8MB,auto,64.89 MB,cheyenne,8,temporal_mean,0.05111503601074219,1
8MB,auto,64.89 MB,cheyenne,8,climatology,0.08302068710327148,1
8MB,auto,64.89 MB,cheyenne,8,anomaly,0.20072674751281738,1
8MB,spatial,64.89 MB,cheyenne,8,global_mean,0.03472781181335449,1
8MB,spatial,64.89 MB,cheyenne,8,temporal_mean,0.044220924377441406,1
8MB,spatial,64.89 MB,cheyenne,8,climatology,0.10581445693969727,1
8MB,spatial,64.89 MB,cheyenne,8,anomaly,0.08910036087036133,1
8MB,temporal,64.89 MB,cheyenne,8,global_mean,0.0616765022277832,1
8MB,temporal,64.89 MB,cheyenne,8,temporal_mean,0.03366541862487793,1
8MB,temporal,64.89 MB,cheyenne,8,climatology,0.08035445213317871,1
8MB,temporal,64.89 MB,cheyenne,8,anomaly,0.11540865898132324,1
8MB,auto,64.89 MB,cheyenne,8,global_mean,0.037424325942993164,1
8MB,auto,64.89 MB,cheyenne,8,temporal_mean,0.05111503601074219,1
8MB,auto,64.89 MB,cheyenne,8,climatology,0.08302068710327148,1
8MB,auto,64.89 MB,cheyenne,8,anomaly,0.20072674751281738,1
16MB,spatial,128.78 MB,cheyenne,8,global_mean,0.04735159873962402,1
16MB,spatial,128.78 MB,cheyenne,8,temporal_mean,0.05067110061645508,1
16MB,spatial,128.78 MB,cheyenne,8,climatology,0.07519674301147461,1
16MB,spatial,128.78 MB,cheyenne,8,anomaly,0.10870742797851562,1
16MB,temporal,128.78 MB,cheyenne,8,global_mean,0.06496953964233398,1
16MB,temporal,128.78 MB,cheyenne,8,temporal_mean,0.032707929611206055,1
16MB,temporal,128.78 MB,cheyenne,8,climatology,0.0946493148803711,1
16MB,temporal,128.78 MB,cheyenne,8,anomaly,0.13885951042175293,1
16MB,auto,128.78 MB,cheyenne,8,global_mean,0.046919822692871094,1
16MB,auto,128.78 MB,cheyenne,8,temporal_mean,0.057085514068603516,1
16MB,auto,128.78 MB,cheyenne,8,climatology,0.10733819007873535,1
16MB,auto,128.78 MB,cheyenne,8,anomaly,0.16479277610778809,1
8MB,spatial,64.89 MB,cheyenne,8,global_mean,0.03472781181335449,1
8MB,spatial,64.89 MB,cheyenne,8,temporal_mean,0.044220924377441406,1
8MB,spatial,64.89 MB,cheyenne,8,climatology,0.10581445693969727,1
8MB,spatial,64.89 MB,cheyenne,8,anomaly,0.08910036087036133,1
8MB,temporal,64.89 MB,cheyenne,8,global_mean,0.0616765022277832,1
8MB,temporal,64.89 MB,cheyenne,8,temporal_mean,0.03366541862487793,1
