chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,spatial_mean,1.196706771850586,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,temporal_mean,0.6577084064483643,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,climatology,1.0547730922698975,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,anomaly,1.6247937679290771,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,spatial_mean,0.7824838161468506,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,temporal_mean,0.6005051136016846,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,climatology,0.8070316314697266,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,anomaly,1.287388801574707,False,1,1
10,64MB,auto,1.28 GB,hal1D,24,128gb,2,spatial_mean,0.7929742336273193,False,1,1
10,64MB,auto,1.28 GB,hal1D,24,128gb,2,temporal_mean,0.6489219665527344,False,1,1
10,64MB,auto,1.28 GB,hal1D,24,128gb,2,climatology,0.8808009624481201,False,1,1
10,64MB,auto,1.28 GB,hal1D,24,128gb,2,anomaly,1.5043284893035889,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,spatial_mean,1.196706771850586,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,temporal_mean,0.6577084064483643,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,climatology,1.0547730922698975,False,1,1
10,64MB,spatial,1.28 GB,hal1D,24,128gb,2,anomaly,1.6247937679290771,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,spatial_mean,0.7824838161468506,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,temporal_mean,0.6005051136016846,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,climatology,0.8070316314697266,False,1,1
10,64MB,temporal,1.28 GB,hal1D,24,128gb,2,anomaly,1.287388801574707,False,1,1
10,64MB,auto,1.28 GB,hal1D,24,128gb,2,spatial_mean,0.7929742336273193,False,1,1
