chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,spatial_mean,1.990530014038086,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,temporal_mean,1.9616785049438477,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,climatology,1.8955988883972168,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,anomaly,2.9406638145446777,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,spatial_mean,1.4283068180084229,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,temporal_mean,0.9411733150482178,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,climatology,1.2972190380096436,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,anomaly,2.622511863708496,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,spatial_mean,1.120537519454956,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,temporal_mean,0.8616564273834229,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,climatology,1.2340545654296875,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,anomaly,2.8132247924804688,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,spatial_mean,1.990530014038086,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,temporal_mean,1.9616785049438477,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,climatology,1.8955988883972168,False,1,1
10,64MB,spatial,10.24 GB,hal24,24,128gb,16,anomaly,2.9406638145446777,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,spatial_mean,1.4283068180084229,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,temporal_mean,0.9411733150482178,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,climatology,1.2972190380096436,False,1,1
10,64MB,temporal,10.24 GB,hal24,24,128gb,16,anomaly,2.622511863708496,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,spatial_mean,1.120537519454956,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,temporal_mean,0.8616564273834229,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,climatology,1.2340545654296875,False,1,1
10,64MB,auto,10.24 GB,hal24,24,128gb,16,anomaly,2.8132247924804688,False,1,1
10,128MB,spatial,20.48 GB,hal24,24,128gb,16,spatial_mean,3.5983939170837402,False,1,1
10,128MB,spatial,20.48 GB,hal24,24,128gb,16,temporal_mean,1.8219082355499268,False,1,1
10,128MB,spatial,20.48 GB,hal24,24,128gb,16,climatology,2.6508445739746094,False,1,1
10,128MB,spatial,20.48 GB,hal24,24,128gb,16,anomaly,6.019296407699585,False,1,1
