chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7184486389160156,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,spatial_mean,0.687746524810791,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,climatology,1.4842290878295898,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,anomaly,4.002223253250122,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,temporal_mean,0.810199499130249,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,spatial_mean,0.7108802795410156,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,climatology,1.132422685623169,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,anomaly,1.7995836734771729,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7624475955963135,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,spatial_mean,0.6839556694030762,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,climatology,1.4066345691680908,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,anomaly,2.0902671813964844,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7184486389160156,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,spatial_mean,0.687746524810791,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,climatology,1.4842290878295898,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,anomaly,4.002223253250122,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,temporal_mean,0.810199499130249,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,spatial_mean,0.7108802795410156,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,climatology,1.132422685623169,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,anomaly,1.7995836734771729,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7624475955963135,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,spatial_mean,0.6839556694030762,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,climatology,1.4066345691680908,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,anomaly,2.0902671813964844,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,temporal_mean,1.3674049377441406,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,spatial_mean,1.2541322708129883,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,climatology,2.296762466430664,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,anomaly,7.735206842422485,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,temporal_mean,1.6320393085479736,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,spatial_mean,1.355090856552124,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,climatology,2.2431552410125732,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,anomaly,4.329503774642944,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,temporal_mean,1.9089159965515137,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,spatial_mean,1.3948585987091064,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,climatology,2.145144462585449,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,anomaly,4.2744460105896,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7184486389160156,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,spatial_mean,0.687746524810791,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,climatology,1.4842290878295898,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,anomaly,4.002223253250122,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,temporal_mean,0.810199499130249,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,spatial_mean,0.7108802795410156,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,climatology,1.132422685623169,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,anomaly,1.7995836734771729,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7624475955963135,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,spatial_mean,0.6839556694030762,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,climatology,1.4066345691680908,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,anomaly,2.0902671813964844,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,temporal_mean,1.3674049377441406,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,spatial_mean,1.2541322708129883,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,climatology,2.296762466430664,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,anomaly,7.735206842422485,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,temporal_mean,1.6320393085479736,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,spatial_mean,1.355090856552124,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,climatology,2.2431552410125732,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,anomaly,4.329503774642944,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,temporal_mean,1.9089159965515137,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,spatial_mean,1.3948585987091064,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,climatology,2.145144462585449,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,anomaly,4.2744460105896,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,temporal_mean,2.979124069213867,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,spatial_mean,2.9916505813598633,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,climatology,3.8578178882598877,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,anomaly,15.225611209869385,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,temporal_mean,2.6344993114471436,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,spatial_mean,2.3835742473602295,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,climatology,3.9739339351654053,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,anomaly,8.094985246658325,False,1,1
10,256MB,auto,20.48 GB,hal24,24,128gb,8,temporal_mean,2.800575017929077,False,1,1
10,256MB,auto,20.48 GB,hal24,24,128gb,8,spatial_mean,2.6121230125427246,False,1,1
10,256MB,auto,20.48 GB,hal24,24,128gb,8,climatology,3.9087398052215576,False,1,1
10,256MB,auto,20.48 GB,hal24,24,128gb,8,anomaly,7.626468181610107,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7184486389160156,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,spatial_mean,0.687746524810791,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,climatology,1.4842290878295898,False,1,1
10,64MB,spatial,5.12 GB,hal24,24,128gb,8,anomaly,4.002223253250122,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,temporal_mean,0.810199499130249,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,spatial_mean,0.7108802795410156,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,climatology,1.132422685623169,False,1,1
10,64MB,temporal,5.12 GB,hal24,24,128gb,8,anomaly,1.7995836734771729,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,temporal_mean,0.7624475955963135,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,spatial_mean,0.6839556694030762,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,climatology,1.4066345691680908,False,1,1
10,64MB,auto,5.12 GB,hal24,24,128gb,8,anomaly,2.0902671813964844,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,temporal_mean,1.3674049377441406,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,spatial_mean,1.2541322708129883,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,climatology,2.296762466430664,False,1,1
10,128MB,spatial,10.24 GB,hal24,24,128gb,8,anomaly,7.735206842422485,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,temporal_mean,1.6320393085479736,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,spatial_mean,1.355090856552124,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,climatology,2.2431552410125732,False,1,1
10,128MB,temporal,10.24 GB,hal24,24,128gb,8,anomaly,4.329503774642944,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,temporal_mean,1.9089159965515137,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,spatial_mean,1.3948585987091064,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,climatology,2.145144462585449,False,1,1
10,128MB,auto,10.24 GB,hal24,24,128gb,8,anomaly,4.2744460105896,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,temporal_mean,2.979124069213867,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,spatial_mean,2.9916505813598633,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,climatology,3.8578178882598877,False,1,1
10,256MB,spatial,20.48 GB,hal24,24,128gb,8,anomaly,15.225611209869385,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,temporal_mean,2.6344993114471436,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,spatial_mean,2.3835742473602295,False,1,1
10,256MB,temporal,20.48 GB,hal24,24,128gb,8,climatology,3.9739339351654053,False,1,1
