chunk_per_worker,chunk_size,chunking_scheme,dataset_size,machine,maxcore_per_node,maxmemory_per_node,num_nodes,operation,runtime,spil,threads_per_worker,worker_per_node
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,spatial_mean,1.8440172672271729,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,temporal_mean,0.8755955696105957,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,climatology,1.2368674278259277,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,anomaly,1.8199615478515625,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,spatial_mean,1.031496286392212,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,temporal_mean,0.7407946586608887,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,climatology,1.0269229412078857,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,anomaly,2.268080234527588,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,spatial_mean,0.9562113285064697,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,temporal_mean,0.7677316665649414,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,climatology,2.2378649711608887,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,anomaly,2.227881669998169,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,spatial_mean,1.8440172672271729,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,temporal_mean,0.8755955696105957,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,climatology,1.2368674278259277,False,1,1
10,64MB,spatial,2.56 GB,hal24,24,128gb,4,anomaly,1.8199615478515625,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,spatial_mean,1.031496286392212,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,temporal_mean,0.7407946586608887,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,climatology,1.0269229412078857,False,1,1
10,64MB,temporal,2.56 GB,hal24,24,128gb,4,anomaly,2.268080234527588,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,spatial_mean,0.9562113285064697,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,temporal_mean,0.7677316665649414,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,climatology,2.2378649711608887,False,1,1
10,64MB,auto,2.56 GB,hal24,24,128gb,4,anomaly,2.227881669998169,False,1,1
10,128MB,spatial,5.12 GB,hal24,24,128gb,4,spatial_mean,2.662933349609375,False,1,1
10,128MB,spatial,5.12 GB,hal24,24,128gb,4,temporal_mean,1.361593246459961,False,1,1
