chunk_size,dataset_size,num_nodes,operation,runtime,worker_per_node
8MB,16.72 MB,1,global_mean,0.0884246826171875,2
8MB,16.72 MB,1,temporal_mean,0.037288665771484375,2
8MB,16.72 MB,1,climatology,0.05658078193664551,2
8MB,16.72 MB,1,anomaly,0.1305241584777832,2
16MB,32.45 MB,1,global_mean,0.044152259826660156,2
16MB,32.45 MB,1,temporal_mean,0.03879213333129883,2
16MB,32.45 MB,1,climatology,0.06250381469726562,2
16MB,32.45 MB,1,anomaly,0.15091180801391602,2
32MB,64.89 MB,1,global_mean,0.06130051612854004,2
32MB,64.89 MB,1,temporal_mean,0.0449674129486084,2
32MB,64.89 MB,1,climatology,0.09335780143737793,2
32MB,64.89 MB,1,anomaly,0.2643098831176758,2
64MB,128.78 MB,1,global_mean,0.09883546829223633,2
64MB,128.78 MB,1,temporal_mean,0.09255266189575195,2
64MB,128.78 MB,1,climatology,0.14803194999694824,2
64MB,128.78 MB,1,anomaly,0.561455249786377,2
128MB,256.58 MB,1,global_mean,0.1679525375366211,2
128MB,256.58 MB,1,temporal_mean,0.15947365760803223,2
128MB,256.58 MB,1,climatology,0.2563815116882324,2
128MB,256.58 MB,1,anomaly,1.3089838027954102,2
256MB,512.17 MB,1,global_mean,0.3080732822418213,2
256MB,512.17 MB,1,temporal_mean,0.28609347343444824,2
256MB,512.17 MB,1,climatology,0.4764127731323242,2
256MB,512.17 MB,1,anomaly,2.6239757537841797,2
512MB,1.02 GB,1,global_mean,0.622307538986206,2
512MB,1.02 GB,1,temporal_mean,0.5792868137359619,2
512MB,1.02 GB,1,climatology,0.8969545364379883,2
512MB,1.02 GB,1,anomaly,5.312237024307251,2
8MB,32.45 MB,2,global_mean,0.06762218475341797,2
8MB,32.45 MB,2,temporal_mean,0.041471004486083984,2
8MB,32.45 MB,2,climatology,0.06815123558044434,2
8MB,32.45 MB,2,anomaly,0.184769868850708,2
16MB,64.89 MB,2,global_mean,0.05283856391906738,2
16MB,64.89 MB,2,temporal_mean,0.04054522514343262,2
16MB,64.89 MB,2,climatology,0.0811758041381836,2
16MB,64.89 MB,2,anomaly,0.2635166645050049,2
32MB,128.78 MB,2,global_mean,0.0696561336517334,2
32MB,128.78 MB,2,temporal_mean,0.04627513885498047,2
32MB,128.78 MB,2,climatology,0.08911466598510742,2
32MB,128.78 MB,2,anomaly,0.3914809226989746,2
64MB,256.58 MB,2,global_mean,0.10903263092041016,2
64MB,256.58 MB,2,temporal_mean,0.0950469970703125,2
64MB,256.58 MB,2,climatology,0.15688586235046387,2
64MB,256.58 MB,2,anomaly,0.869462251663208,2
128MB,512.17 MB,2,global_mean,0.17789554595947266,2
128MB,512.17 MB,2,temporal_mean,0.1614525318145752,2
128MB,512.17 MB,2,climatology,0.2714223861694336,2
128MB,512.17 MB,2,anomaly,2.192842960357666,2
256MB,1.02 GB,2,global_mean,0.32776904106140137,2
256MB,1.02 GB,2,temporal_mean,0.29182958602905273,2
256MB,1.02 GB,2,climatology,0.48784446716308594,2
256MB,1.02 GB,2,anomaly,4.468637228012085,2
512MB,2.05 GB,2,global_mean,0.6310193538665771,2
512MB,2.05 GB,2,temporal_mean,0.5909593105316162,2
512MB,2.05 GB,2,climatology,0.9140229225158691,2
512MB,2.05 GB,2,anomaly,9.346368074417114,2
8MB,64.89 MB,4,global_mean,0.07541418075561523,2
8MB,64.89 MB,4,temporal_mean,0.05643486976623535,2
8MB,64.89 MB,4,climatology,0.09394645690917969,2
8MB,64.89 MB,4,anomaly,0.3165762424468994,2
16MB,128.78 MB,4,global_mean,0.08080744743347168,2
16MB,128.78 MB,4,temporal_mean,0.055258989334106445,2
16MB,128.78 MB,4,climatology,0.10240912437438965,2
16MB,128.78 MB,4,anomaly,0.46604299545288086,2
32MB,256.58 MB,4,global_mean,0.09699726104736328,2
32MB,256.58 MB,4,temporal_mean,0.06992745399475098,2
32MB,256.58 MB,4,climatology,0.13362860679626465,2
32MB,256.58 MB,4,anomaly,0.7862570285797119,2
64MB,512.17 MB,4,global_mean,0.12599873542785645,2
64MB,512.17 MB,4,temporal_mean,0.10676932334899902,2
64MB,512.17 MB,4,climatology,0.19505596160888672,2
64MB,512.17 MB,4,anomaly,1.4608402252197266,2
128MB,1.02 GB,4,global_mean,0.19923615455627441,2
128MB,1.02 GB,4,temporal_mean,0.17441129684448242,2
128MB,1.02 GB,4,climatology,0.3045504093170166,2
128MB,1.02 GB,4,anomaly,4.076987981796265,2
256MB,2.05 GB,4,global_mean,0.3554832935333252,2
256MB,2.05 GB,4,temporal_mean,0.3099987506866455,2
256MB,2.05 GB,4,climatology,0.5241110324859619,2
256MB,2.05 GB,4,anomaly,8.070950508117676,2
512MB,4.10 GB,4,global_mean,0.6726372241973877,2
512MB,4.10 GB,4,temporal_mean,0.6221325397491455,2
512MB,4.10 GB,4,climatology,0.9609260559082031,2
512MB,4.10 GB,4,anomaly,16.885902881622314,2
8MB,128.78 MB,8,global_mean,0.1301884651184082,2
8MB,128.78 MB,8,temporal_mean,0.07258486747741699,2
8MB,128.78 MB,8,climatology,0.11455702781677246,2
8MB,128.78 MB,8,anomaly,0.4738011360168457,2
16MB,256.58 MB,8,global_mean,0.10686898231506348,2
16MB,256.58 MB,8,temporal_mean,0.0710456371307373,2
16MB,256.58 MB,8,climatology,0.13490676879882812,2
16MB,256.58 MB,8,anomaly,0.7958035469055176,2
32MB,512.17 MB,8,global_mean,0.10418295860290527,2
32MB,512.17 MB,8,temporal_mean,0.07830047607421875,2
32MB,512.17 MB,8,climatology,0.16486382484436035,2
32MB,512.17 MB,8,anomaly,1.3661079406738281,2
64MB,1.02 GB,8,global_mean,0.14235639572143555,2
64MB,1.02 GB,8,temporal_mean,0.1171867847442627,2
64MB,1.02 GB,8,climatology,0.2979316711425781,2
64MB,1.02 GB,8,anomaly,2.762988567352295,2
128MB,2.05 GB,8,global_mean,0.21370816230773926,2
128MB,2.05 GB,8,temporal_mean,0.19860053062438965,2
128MB,2.05 GB,8,climatology,0.33947038650512695,2
128MB,2.05 GB,8,anomaly,7.085547924041748,2
256MB,4.10 GB,8,global_mean,0.3569774627685547,2
256MB,4.10 GB,8,temporal_mean,0.3224518299102783,2
256MB,4.10 GB,8,climatology,0.5471780300140381,2
256MB,4.10 GB,8,anomaly,15.640417098999023,2
512MB,8.19 GB,8,global_mean,0.7728297710418701,2
512MB,8.19 GB,8,temporal_mean,0.627375602722168,2
512MB,8.19 GB,8,climatology,0.9898571968078613,2
512MB,8.19 GB,8,anomaly,31.391849756240845,2
8MB,256.58 MB,16,global_mean,0.14246559143066406,2
8MB,256.58 MB,16,temporal_mean,0.1193687915802002,2
8MB,256.58 MB,16,climatology,0.286787748336792,2
8MB,256.58 MB,16,anomaly,0.8977510929107666,2
16MB,512.17 MB,16,global_mean,0.12980246543884277,2
16MB,512.17 MB,16,temporal_mean,0.11611080169677734,2
16MB,512.17 MB,16,climatology,0.19173717498779297,2
16MB,512.17 MB,16,anomaly,1.43473482131958,2
32MB,1.02 GB,16,global_mean,0.13937687873840332,2
32MB,1.02 GB,16,temporal_mean,0.20995736122131348,2
32MB,1.02 GB,16,climatology,0.2172226905822754,2
32MB,1.02 GB,16,anomaly,2.7366790771484375,2
64MB,2.05 GB,16,global_mean,0.17912578582763672,2
64MB,2.05 GB,16,temporal_mean,0.14633536338806152,2
